commit	score_patch_bytes	diff_ms_patch_ms	status	description
4578166	42595	diff_ms=2053.0842740000003 patch_ms=199.086682	baseline	scale=0.25 scenario=sdk-only chunk_mb=64 diff_threads=0 seed=42 runs=1
0000000	58145	diff_ms=389.368969 patch_ms=48.132181	discard	sweep(0.25) chunk_mb=8: bytes +36% / diff -82% (5 chunks parallel, cross-chunk copy loss on chained zstd stream). Rejected as default: score regressed. seed=42
0000000	50362	diff_ms=905.559973 patch_ms=95.97269299999999	discard	sweep(0.25) chunk_mb=16: bytes +18% / diff -58%. Rejected: score regressed. seed=42
0000000	46460	diff_ms=1812.819885 patch_ms=177.168337	discard	sweep(0.25) chunk_mb=32: bytes +9% / diff -16%. Rejected: score regressed. seed=42
0000000	42595	diff_ms=2174.7845780000002 patch_ms=210.21666199999999	discard	sweep(0.25) chunk_mb=128: identical to 64 (single-chunk regime, archive ~40 MiB). No new information. seed=42
0000000	277540	diff_ms=374.834465 patch_ms=90.441568	discard	sweep(1.0) chunk_mb=4 = production clamp under 256 MiB budget on 48 cores: bytes +76% vs 64 MiB, diff -91%. The budget-derived chunk lands on the byte-curve floor. seed=42
0000000	212600	diff_ms=679.125049 patch_ms=132.600916	discard	sweep(1.0) chunk_mb=8: bytes +35% / diff -84% vs 64 MiB. seed=42
0000000	181149	diff_ms=1209.258691 patch_ms=163.02510900000001	discard	sweep(1.0) chunk_mb=16: bytes +15% / diff -72% vs 64 MiB — knee region. seed=42
0000000	165419	diff_ms=2289.99637 patch_ms=246.49731	discard	sweep(1.0) chunk_mb=32: bytes +5% / diff -47% vs 64 MiB. seed=42
0000000	157939	diff_ms=4333.945966 patch_ms=388.635588	discard	sweep(1.0) chunk_mb=64: byte knee (further gains -2.4% at 128, -4.8% at 256 for 2.3x time). Reference point, not a landed change. seed=42
0000000	154208	diff_ms=8532.583361 patch_ms=676.17158499999999	discard	sweep(1.0) chunk_mb=128: bytes -2.4% vs 64, diff 2x. Byte curve flattening. seed=42
0000000	150284	diff_ms=9873.934232 patch_ms=763.86955	discard	sweep(1.0) chunk_mb=256: bytes -4.8% vs 64, diff 2.3x. Asymptote of the single-chunk regime. seed=42
0000000	104689	before=104305 apply_before_ms=36690 apply_after_ms=45170 delta_build_before_ms=1689 delta_build_after_ms=7918	discard	knee-policy chunked_diff_options (chunk=budget/12=21.3 MiB, threads=1 at 256 MiB/48) vs current (4 MiB x 48): byte-neutral on per-file sparse-ops (+0.4% download) — the archive-level chunk-boundary byte tax does NOT transfer to raw per-file diffs (no chained zstd stream inside a file); single-threaded 21 MiB is 4.7x slower publisher-side and +23% client apply. Keep current floor+parallel regime for sparse-file-ops; the archive knee applies only to the ArchiveChunkedBsdiff fallback. scale=0.25 sdk-only num_deltas=20 seed=42
0000000	98981	before=98597 wire_before_bytes=98597 wire_after_bytes=98981 delta_build_before_ms=2822 delta_build_after_ms=34135 apply_before_ms=44381 apply_after_ms=44555	discard	scoped knee for ArchiveChunkedBsdiff (21.3 MiB x 1 thread) measured through the real update chain at scale 1.0 / 20 deltas: WIRE bytes flat (+0.4%, 98981 vs 98597) — the raw chunk-boundary byte tax (277 KB vs 158 KB) is redundant copy/seek structure that zstd crushes in the packed pipeline (~5 KB per delta either way); delta build 12x slower (34135 vs 2822 ms), apply flat. Raw patch bytes (this surface's score) is a misleading proxy for field bandwidth; the update surface's download_bytes is authoritative. Idea 1 closed on both variants: current floor+parallel derivation is correct as-is for both strategies.
0000000	104463	wire_L3=104463 wire_L9=104365 wire_L19=103445 encode_ms_L3=2.6 encode_ms_L9=3.0 encode_ms_L19=3.6	discard	patch-only zstd level, measured on 20 real sparse-file-ops patch docs (scale 1.0 sdk-only, SFD1 JSON envelopes, raw 42.5 KB each): wire L9 -0.09%, L19 -0.97% vs L3, L19 encode +38%. The compressible part of the patch is JSON structure L3 already crushes; the payload is patch data with no level headroom. Not worth a manifest/pack-policy knob. Idea 2 closed; the wire-byte axis (chunk size, zstd level) is exhausted for this payload shape — remaining delta-surface ideas are format-level (4-6).
a5b6fec	503524	wire_bytes_unchanged=503524 delta_pack_build_avg_ms=2223 vs 4188 publish_101_ms=644354 vs ~851914 (round 10 session)	keep	in-memory sparse delta build (sparse_diff.rs): both archives zstd-decoded concurrently (2 threads), entry contents borrowed as zero-copy slices of the decoded tar (manual 512-byte block walk; a desync would fail closed via per-op SHA-256), changed-file basis SHA-256 on a worker thread while the chunked diff runs. No disk extraction. Byte-identical patches (in_memory_sparse_patch_is_byte_identical_to_disk_build equivalence + round-trip test). Same-session A/B 10 deltas sdk_only 1.0 seed 42 x2 pairs: delta pack 4163/4215 -> 2218/2187 ms/version (-47.5%), publish 93.3s/96.5s -> 61.2s/63.2s (-34%). 100-delta: install tree 1214024073 B identical. Next candidate: cross-step decoded-tree reuse (program.md idea 1).
ae6c1b7	503524	wire_bytes_unchanged=503524 delta_pack_build_avg_ms=1551-1586 (10d A/B 2 pairs) vs 2142-2158 ops_phase_ms=495 vs 970 reuse_saves_ms=~50-150 100d_publish_ms=536854	keep	cross-step decoded-tree reuse (SparseTreeReuse via PackBuilder::with/take_sparse_tree_reuse, SHA-256-guarded, bench publish loop threaded) + changed-file passes parallelized (both SHA-256s on worker threads while chunked diff runs on caller). Reuse itself measured small on 48-core host (cold decodes already overlapped) but fails closed under checkpoint/rebuild drift and helps loaded CI; the 3-pass split is the win: ops 970->495 ms. 10-delta A/B: 2142/2158 -> 1551/1586 ms/version (-27.6%, new<base 2/2); 100-delta: delta avg 1619 ms, publish 536.9 s, install tree 1214024073 B identical. Cumulative vs pre-round-11 disk build: -63%. Next: MT zstd decode (idea 1).
