commit	score_apply_ms	download_bytes_delta_build_ms	status	description
4578166	8525.814539	download_bytes=104328 delta_build_ms=796.1179999999999 index_ms=0.707	baseline	scale=0.05 scenario=sdk-only num_deltas=20 seed=42 runs=1
9774c13	36690.083648	download_bytes=104305 delta_build_ms=1688.633 index_ms=4.819	baseline	scale=0.25 scenario=sdk-only num_deltas=20 seed=42 runs=1 (medium-scale reference; current production chunk derivation)
deefef6	44380.747004	download_bytes=98597 delta_build_ms=2821.922 index_ms=1.718	baseline	scale=1.0 scenario=sdk-only num_deltas=20 strategy=archive-chunked-bsdiff seed=42 runs=1 (large-scale reference for the archive-chunked fallback shape; current 4 MiB floor x 48 threads derivation)
0000000	44555.411284999995	download_bytes=98981 delta_build_ms=34135.236 index_ms=0.912	discard	knee-first chunking scoped to ArchiveChunkedBsdiff (21.3 MiB x 1 thread at the 256 MiB budget) vs current 4 MiB x 48: download bytes +0.4% (98981 vs 98597, the small delta is run noise) and 12x slower delta build (34135 vs 2822 ms). The microbench raw-byte chunk tax (277 KB vs 158 KB) does NOT survive zstd in the packed pipeline: the raw diff is mostly redundant copy/seek entries that compress to ~5 KB per delta either way. Wire bytes are flat across 4-64 MiB chunks; chunk policy is a pure time lever, so keep floor+parallel. Idea 1 (auto/delta) closed on both variants.
22bc79b	655750.160824	download_bytes=522171 delta_build_ms=5145.601 index_ms=8.28	baseline	scale=1.0 scenario=sdk-only num_deltas=100 strategy=sparse-file-ops seed=42 runs=1
0eb7303	128699.3	download_bytes=104361 per_step_ms=6400_flat_over_20_steps	baseline	scale=1.0 scenario=sdk-only num_deltas=20 strategy=sparse-file-ops seed=42 runs=1 (loaded-host per-step control via BENCH_STEP_TIMING: ~6.4 s/delta, matching the 100-delta run's per-step rate — per-delta apply cost is FLAT in chain depth; the earlier 2.2 s/delta was an idle-host outlier, correcting the first 100-delta run's superlinear reading)
174cc62	28169.653354000002	download_bytes=104305 delta_build_ms=1647.8350003 index_ms=1.078	keep	carried-tree chain apply (extract starting archive once, apply consecutive sparse deltas in place, per-step repack + full SHA-256 unchanged) vs re-extract-per-step: scale=0.25 apply 35125-36690 -> 28170 ms, download identical. seed=42 runs=1
174cc62	100689.2	download_bytes=104361 per_step_ms=4802_flat_over_19_steps	keep	carried-tree chain apply, scale=1.0 same-session A/B: 128699 -> 100689 ms (-21.8%), repeat run 101076 ms (0.4% spread), download identical. Per-step 6430 -> 4802 ms; the removed cost is the per-step re-extract (~1.0 s). seed=42 runs=2
174cc62	488689	download_bytes=522171 publish_ms=856767	keep	carried-tree chain apply, scale=1.0 100-delta promotion gate: apply 656990 -> 488689 ms (-25.6%), download byte-identical (522171), install-tree assertion passes, per-step hash verification intact (unit equivalence test: in-place chain steps byte-identical to single-shot apply). seed=42
cba8ff5	218318.01532399998	download_bytes=503524 delta_build_ms=4215.9 index_ms=6.924	keep	identity-chunk chunked patches (format v2): 100-delta A/B same-session apply 480505 -> 223108/218318 ms (-54%, 2.2% spread), publish 846109 -> 707846/741469 ms (-14%), download 522171 -> 503524 B (deterministic), install tree byte-identical; v1 patches still apply, v2 fails closed on v1 readers
bba9f4f	157328.2	download_bytes=503524 per_step_ms=1573_flat_over_100_steps	keep	verified-hash carry across sparse chain steps (skip redundant basis re-hash: target hash of step N == basis hash of step N+1): same-session A/B apply 216777 -> 156599/158057 ms (-27.4%, 0.9% spread), download + install tree identical; tamper-between-steps regression test keeps fail-closed behavior
